"id_user","id_tempat","nama_tempat","kota","kategori","tarif","rating_tempat","latitude","longitude"
"1","179","Candi Ratu Boko","Yogyakarta","Budaya","75000","3","-7.7705416","110.4894158"
"1","101","Kampung Wisata Sosro Menduran","Yogyakarta","Budaya","0","4","-7.7921900","110.3621510"
"1","154","Pantai Ngrawe (Mesra)","Yogyakarta","Bahari","10000","2","-8.1333389","110.5537405"
"1","103","Tugu Pal Putih Jogja","Yogyakarta","Taman Hiburan","0","3","-7.7829437","110.3670548"
"1","208","Taman Sungai Mudal","Yogyakarta","Cagar Alam","10000","5","-7.7628136","110.1161626"
"1","89","De Mata Museum Jogja","Yogyakarta","Budaya","50000","3","-7.8163156","110.3871442"
"2","147","Bentara Budaya Yogyakarta (BBY)","Yogyakarta","Budaya","0","2","-7.7857242","110.3746954"
"2","85","Taman Pintar Yogyakarta","Yogyakarta","Taman Hiburan","6000","4","-7.8006715","110.3676551"
"2","111","Puncak Pinus Becici","Yogyakarta","Taman Hiburan","3000","2","-7.9020355","110.4374627"
"2","107","Bangsal Pagelaran","Yogyakarta","Budaya","5000","2","-7.8052843","110.3642137"
"2","185","Pantai Krakal","Yogyakarta","Bahari","10000","2","-8.1450190","110.5998857"
"2","105","Candi Donotirto","Yogyakarta","Budaya","0","2","-7.7955613","110.3612095"
"2","176","Museum Gunung Merapi","Yogyakarta","Budaya","10000","3","-7.6159272","110.4243329"
"2","208","Taman Sungai Mudal","Yogyakarta","Cagar Alam","10000","5","-7.7628136","110.1161626"
"2","208","Taman Sungai Mudal","Yogyakarta","Cagar Alam","10000","3","-7.7628136","110.1161626"
"2","167","Geoforest Watu Payung Turunan","Yogyakarta","Cagar Alam","0","2","-7.9742940","110.4364363"
"2","166","Kebun Teh Nglinggo","Yogyakarta","Cagar Alam","6000","2","-7.6470540","110.1414699"
"3","202","Pantai Ngandong","Yogyakarta","Bahari","10000","5","-8.1464230","110.6061408"
"3","202","Pantai Ngandong","Yogyakarta","Bahari","10000","3","-8.1464230","110.6061408"
"3","118","Museum Sonobudoyo Unit I","Yogyakarta","Budaya","5000","2","-7.8024499","110.3639555"
"3","86","Keraton Yogyakarta","Yogyakarta","Budaya","15000","4","-7.8052845","110.3642031"
"3","105","Candi Donotirto","Yogyakarta","Budaya","0","5","-7.7955613","110.3612095"
"3","131","Watu Lumbung","Yogyakarta","Cagar Alam","5000","4","-7.9924379","110.3177780"
"3","193","Candi Sewu","Yogyakarta","Budaya","50000","2","-7.7439217","110.4929095"
"3","176","Museum Gunung Merapi","Yogyakarta","Budaya","10000","2","-7.6159272","110.4243329"
"3","104","Tebing Breksi","Yogyakarta","Budaya","20000","3","-7.7815714","110.5045827"
"3","128","Gumuk Pasir Parangkusumo","Yogyakarta","Taman Hiburan","0","5","-8.0173266","110.3180791"
"3","134","Desa Wisata Gamplong","Yogyakarta","Taman Hiburan","10000","3","-7.8055232","110.2374676"
"3","100","Taman Budaya Yogyakarta","Yogyakarta","Budaya","0","4","-7.8001041","110.3676579"
"3","198","Pantai Greweng","Yogyakarta","Bahari","5000","5","-8.1978644","110.7186216"
"4","88","Museum Benteng Vredeburg Yogyakarta","Yogyakarta","Budaya","3000","3","-7.8002016","110.3663044"
"4","91","Situs Warungboto","Yogyakarta","Taman Hiburan","0","3","-7.8102685","110.3931513"
"4","193","Candi Sewu","Yogyakarta","Budaya","50000","5","-7.7439217","110.4929095"
